subject_id,split
kfall_SA06,train
kfall_SA09,train
kfall_SA12,train
kfall_SA13,train
kfall_SA15,train
kfall_SA17,train
kfall_SA19,train
kfall_SA21,train
kfall_SA24,train
kfall_SA25,train
kfall_SA27,train
kfall_SA29,train
kfall_SA30,train
kfall_SA31,train
kfall_SA33,train
kfall_SA37,train
fallalld_S03,train
fallalld_S04,train
fallalld_S07,train
fallalld_S09,train
fallalld_S10,train
fallalld_S11,train
fallalld_S15,train
urfd_adl-04-acc.csv,train
urfd_adl-06-acc.csv,train
urfd_adl-09-acc.csv,train
urfd_adl-12-acc.csv,train
urfd_adl-13-acc.csv,train
urfd_adl-14-acc.csv,train
urfd_adl-15-acc.csv,train
urfd_adl-16-acc.csv,train
urfd_adl-18-acc.csv,train
urfd_adl-19-acc.csv,train
urfd_adl-20-acc.csv,train
urfd_adl-24-acc.csv,train
urfd_adl-26-acc.csv,train
urfd_adl-27-acc.csv,train
urfd_adl-29-acc.csv,train
urfd_adl-30-acc.csv,train
urfd_adl-31-acc.csv,train
urfd_adl-32-acc.csv,train
urfd_adl-33-acc.csv,train
urfd_adl-34-acc.csv,train
urfd_adl-36-acc.csv,train
urfd_adl-37-acc.csv,train
urfd_fall-01-acc.csv,train
urfd_fall-02-acc.csv,train
urfd_fall-04-acc.csv,train
urfd_fall-05-acc.csv,train
urfd_fall-06-acc.csv,train
urfd_fall-07-acc.csv,train
urfd_fall-10-acc.csv,train
urfd_fall-11-acc.csv,train
urfd_fall-12-acc.csv,train
urfd_fall-16-acc.csv,train
urfd_fall-18-acc.csv,train
urfd_fall-19-acc.csv,train
urfd_fall-21-acc.csv,train
urfd_fall-22-acc.csv,train
urfd_fall-23-acc.csv,train
urfd_fall-26-acc.csv,train
urfd_fall-27-acc.csv,train
urfd_fall-28-acc.csv,train
urfd_fall-30-acc.csv,train
kfall_SA08,val
kfall_SA11,val
kfall_SA20,val
kfall_SA26,val
kfall_SA36,val
fallalld_S02,val
fallalld_S08,val
urfd_adl-01-acc.csv,val
urfd_adl-03-acc.csv,val
urfd_adl-05-acc.csv,val
urfd_adl-07-acc.csv,val
urfd_adl-21-acc.csv,val
urfd_adl-28-acc.csv,val
urfd_fall-13-acc.csv,val
urfd_fall-14-acc.csv,val
urfd_fall-17-acc.csv,val
urfd_fall-20-acc.csv,val
kfall_SA07,test
kfall_SA10,test
kfall_SA14,test
kfall_SA16,test
kfall_SA18,test
kfall_SA22,test
kfall_SA23,test
kfall_SA28,test
kfall_SA32,test
kfall_SA35,test
kfall_SA38,test
fallalld_S01,test
fallalld_S05,test
fallalld_S12,test
fallalld_S13,test
fallalld_S14,test
urfd_adl-02-acc.csv,test
urfd_adl-08-acc.csv,test
urfd_adl-10-acc.csv,test
urfd_adl-11-acc.csv,test
urfd_adl-17-acc.csv,test
urfd_adl-22-acc.csv,test
urfd_adl-23-acc.csv,test
urfd_adl-25-acc.csv,test
urfd_adl-35-acc.csv,test
urfd_adl-38-acc.csv,test
urfd_adl-39-acc.csv,test
urfd_adl-40-acc.csv,test
urfd_fall-03-acc.csv,test
urfd_fall-08-acc.csv,test
urfd_fall-09-acc.csv,test
urfd_fall-15-acc.csv,test
urfd_fall-24-acc.csv,test
urfd_fall-25-acc.csv,test
urfd_fall-29-acc.csv,test
