acc_x_mean,acc_x_std,acc_x_max,acc_x_min,acc_y_mean,acc_y_std,acc_y_max,acc_y_min,acc_z_mean,acc_z_std,acc_z_max,acc_z_min,mag_mean,mag_std,mag_max,label,source,subject_id,activity_detail
-0.05792500000000001,0.0037788060283639856,-0.047,-0.067,-1.00646,0.004692376796464659,-0.993,-1.02,-0.010139999999999996,0.004832225160316935,0.003,-0.022,1.0081950083938311,0.004725468205627055,1.0219065515006742,0,kfall,kfall_SA06,T01
-0.05542000000000002,0.0046014780234181285,-0.043,-0.065,-1.0067,0.0036124783736376787,-0.998,-1.015,-0.008354999999999994,0.005904995766298229,0.014,-0.022,1.0082866277101479,0.0036388708272388414,1.0168918329891334,0,kfall,kfall_SA06,T01
-0.054525000000000004,0.004440650290216513,-0.043,-0.065,-1.0065449999999998,0.0033523089058140106,-0.997,-1.015,-0.009999999999999995,0.005912698199637796,0.014,-0.022,1.008097394248421,0.0033724930753676143,1.0166636611977433,0,kfall,kfall_SA06,T01
-0.057005000000000014,0.004738668061808086,-0.041,-0.071,-1.006425,0.003678909485159964,-0.996,-1.017,-0.013924999999999998,0.0042882834561162155,-0.002,-0.027,1.0081545659054163,0.0036750842251061905,1.0182681375747744,0,kfall,kfall_SA06,T01
-0.055040000000000006,0.005612343539021823,-0.041,-0.071,-1.00684,0.0041041929779190404,-0.996,-1.021,-0.008654999999999998,0.008926139983217831,0.013,-0.027,1.0084356401997439,0.004083451350551047,1.022439240248534,0,kfall,kfall_SA06,T01
-0.05319000000000001,0.0044321439507308425,-0.044,-0.063,-1.0068449999999998,0.004092795499411126,-0.997,-1.021,-0.008554999999999997,0.008816857433348915,0.013,-0.024,1.008333719455308,0.004057118364588625,1.022439240248534,0,kfall,kfall_SA06,T01
-0.05518500000000001,0.003709551859726455,-0.046,-0.063,-1.0065199999999999,0.003820942292157782,-0.997,-1.017,-0.01444,0.004049246843550047,-0.001,-0.024,1.0081500530002077,0.0038256549345757913,1.0186790466088913,0,kfall,kfall_SA06,T01
-0.057360000000000015,0.003300060605504087,-0.048,-0.066,-1.006475,0.003675510168670461,-0.994,-1.017,-0.014380000000000002,0.0033129443098247227,-0.0069999999999999,-0.025,1.0082214132235479,0.0037198007354848676,1.0186790466088913,0,kfall,kfall_SA06,T01
-0.057340000000000016,0.00368976964050603,-0.048,-0.066,-1.0063399999999998,0.003294601645115836,-0.994,-1.017,-0.01283,0.004160661005176946,-0.002,-0.025,1.0080691507909896,0.0033237363813855016,1.0188518047292254,0,kfall,kfall_SA06,T01
-0.05459500000000001,0.004614214451019805,-0.043,-0.064,-1.0063399999999998,0.003926117675261404,-0.995,-1.019,-0.013534999999999995,0.005810230201979957,-0.002,-0.03,1.0079380979622927,0.003906491540403884,1.0207556024827882,0,kfall,kfall_SA06,T01
-0.054270000000000006,0.004462857828790874,-0.043,-0.064,-1.0061,0.003814446224552131,-0.995,-1.019,-0.021310000000000003,0.00734260852830927,-0.004,-0.036,1.0078247657750674,0.003765831970551516,1.0207556024827882,0,kfall,kfall_SA06,T01
-0.05535,0.003684765935578541,-0.047,-0.063,-1.00601,0.003560884721526374,-0.996,-1.016,-0.022650000000000007,0.006301388735826416,-0.0069999999999999,-0.036,1.0078125377225666,0.0035522963277126542,1.0172403845699405,0,kfall,kfall_SA06,T01
-0.05589500000000001,0.004308593157864873,-0.042,-0.065,-1.0061499999999999,0.0037772344380511995,-0.996,-1.016,-0.021479999999999996,0.005886391084527091,-0.0069999999999999,-0.041,1.0079565518609783,0.0038124218715878616,1.0172403845699405,0,kfall,kfall_SA06,T01
-0.058035,0.004391329525326015,-0.042,-0.066,-1.005865,0.003121982543192705,-0.998,-1.013,-0.025010000000000004,0.005099009707776599,-0.014,-0.041,1.007870656917219,0.0031191225133011874,1.0149551714238416,0,kfall,kfall_SA06,T01
-0.05949000000000001,0.0031304791965448358,-0.05,-0.067,-1.0057900000000002,0.0032412806111165385,-0.998,-1.015,-0.02234,0.005511297487887948,-0.011,-0.037,1.0078154566172568,0.0032164271093845557,1.0170791512955124,0,kfall,kfall_SA06,T01
-0.059385,0.00328432260900174,-0.047,-0.067,-1.00582,0.003037696495701968,-0.999,-1.015,-0.021445,0.00454939281662949,-0.011,-0.035,1.0078154566086357,0.0030092226117428736,1.0170791512955124,0,kfall,kfall_SA06,T01
-0.058605,0.003853436777734909,-0.046,-0.066,-1.0058599999999998,0.003939593887699588,-0.993,-1.016,-0.024850000000000004,0.004518572783523576,-0.016,-0.037,1.0078898441142257,0.0039060378136413806,1.0184232911712103,0,kfall,kfall_SA06,T01
-0.058085000000000005,0.004568125983376553,-0.046,-0.074,-1.006005,0.005321181729653663,-0.99,-1.019,-0.025470000000000003,0.0055144446683233666,-0.008,-0.037,1.0080276857122903,0.005331494867694841,1.0204714596695,0,kfall,kfall_SA06,T01
-0.057700000000000015,0.005545268253204709,-0.042,-0.074,-1.0059049999999998,0.005428257086763669,-0.99,-1.019,-0.0241,0.006772001181334805,-0.008,-0.041,1.0078846390756036,0.005440525290825548,1.0204714596695,0,kfall,kfall_SA06,T01
-0.05685500000000001,0.004739617600608725,-0.042,-0.069,-1.0056100000000001,0.004289277328408592,-0.993,-1.018,-0.032119999999999996,0.011499808694060958,-0.009,-0.056,1.0078047054674442,0.004294256359135649,1.0195435253092435,0,kfall,kfall_SA06,T01
-0.05647000000000001,0.0037160597411774747,-0.047,-0.064,-1.00492,0.0034152013117823613,-0.996,-1.014,-0.047925,0.007913240486678009,-0.03,-0.062,1.0076836821629094,0.003400250373227752,1.01692723436832,0,kfall,kfall_SA06,T01
-0.05730500000000001,0.00404993518466654,-0.048,-0.066,-1.0042849999999999,0.0037193783082660405,-0.995,-1.014,-0.05453500000000001,0.004108378633962551,-0.042,-0.066,1.0074125160678509,0.003664351217068766,1.01692723436832,0,kfall,kfall_SA06,T01
-0.059359999999999996,0.003716234653516917,-0.049,-0.067,-1.004205,0.003554289661803039,-0.995,-1.014,-0.05575000000000001,0.004144574767090106,-0.045,-0.068,1.0075171019314189,0.0035020445049359045,1.017173043292045,0,kfall,kfall_SA06,T01
-0.061384999999999995,0.00306051874687936,-0.053,-0.07,-1.0039799999999999,0.0029664119740858605,-0.996,-1.014,-0.05894,0.004197189535868021,-0.049,-0.069,1.00759374699143,0.002916508832487548,1.017173043292045,0,kfall,kfall_SA06,T01
-0.06056000000000001,0.0038828340165399816,-0.049,-0.07,-1.0040149999999999,0.00327792236027639,-0.993,-1.011,-0.058535000000000004,0.0049576985588073025,-0.042,-0.069,1.0075615354879084,0.0031831125095300628,1.0142440534703667,0,kfall,kfall_SA06,T01
-0.05827500000000001,0.0033703671906781907,-0.049,-0.069,-1.0044399999999998,0.0036036648012821577,-0.993,-1.015,-0.053135,0.005189101560000536,-0.038,-0.065,1.0075503305655815,0.003552657763876212,1.0180112965974395,0,kfall,kfall_SA06,T01
-0.0579,0.0029546573405388314,-0.051,-0.067,-1.004495,0.0035566803342442764,-0.996,-1.015,-0.053485,0.005253548800572809,-0.038,-0.067,1.0076010906159263,0.0035045954967664046,1.0180112965974395,0,kfall,kfall_SA06,T01
-0.05730500000000001,0.004394539224992764,-0.045,-0.067,-1.004575,0.0037194589660325492,-0.996,-1.013,-0.05655500000000001,0.005359755125003381,-0.043,-0.073,1.0078204803438013,0.0036075475866017013,1.0163788663682456,0,kfall,kfall_SA06,T01
-0.05445500000000001,0.0048433433700286015,-0.044,-0.066,-1.004745,0.003325654071006179,-0.997,-1.013,-0.05580500000000001,0.005690955543667514,-0.043,-0.073,1.0077938165912244,0.0032539576661924892,1.0157731045858618,0,kfall,kfall_SA06,T01
